trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,cell_type_proportion,cell_type_proportion_displayed,passes_display_threshold,association_star_displayed,display_threshold,display_inclusion_rule
3,13,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Sncg,Sncg,135,0.007407407407407408,0.0,False,False,0.01,> 0.01
3,14,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Sst,Sst,739,0.005412719891745603,0.0,False,False,0.01,> 0.01
3,15,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Sst Chodl,Sst Chodl,6,0.0,0.0,False,False,0.01,> 0.01
3,16,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Vip,Vip,623,0.006420545746388443,0.0,False,False,0.01,> 0.01
4,1,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Endothelial,Endothelial,14,0.0,0.0,False,False,0.01,> 0.01
4,2,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),OPC,OPC,254,0.003937007874015748,0.0,False,False,0.01,> 0.01
4,3,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),L4 IT,L4 IT,1005,0.001990049751243781,0.0,False,False,0.01,> 0.01
4,4,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),L5 ET,L5 ET,13,0.0,0.0,False,False,0.01,> 0.01
4,5,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),L5 IT,L5 IT,869,0.0034522439585730723,0.0,False,False,0.01,> 0.01
4,6,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),L6 IT,L6 IT,305,0.003278688524590164,0.0,False,False,0.01,> 0.01
4,7,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),L6 IT Car3,L6 IT Car3,189,0.0,0.0,False,False,0.01,> 0.01
4,8,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),L6b,L6b,117,0.008547008547008548,0.0,False,False,0.01,> 0.01
4,9,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Chandelier,Chandelier,58,0.0,0.0,False,False,0.01,> 0.01
4,10,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Lamp5,Lamp5,241,0.008298755186721992,0.0,False,False,0.01,> 0.01
4,11,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Lamp5 Lhx6,Lamp5 Lhx6,110,0.0,0.0,False,False,0.01,> 0.01
4,12,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Pvalb,Pvalb,676,0.0,0.0,False,False,0.01,> 0.01
4,13,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Sncg,Sncg,135,0.007407407407407408,0.0,False,False,0.01,> 0.01
4,14,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Sst,Sst,739,0.0040595399188092015,0.0,False,False,0.01,> 0.01
4,15,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Sst Chodl,Sst Chodl,6,0.0,0.0,False,False,0.01,> 0.01
4,16,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Vip,Vip,623,0.0016051364365971107,0.0,False,False,0.01,> 0.01
5,1,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Endothelial,Endothelial,14,0.0,0.0,False,False,0.01,> 0.01
5,2,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),OPC,OPC,254,0.0,0.0,False,False,0.01,> 0.01
5,3,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),L4 IT,L4 IT,1005,0.0029850746268656717,0.0,False,False,0.01,> 0.01
5,4,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),L5 ET,L5 ET,13,0.0,0.0,False,False,0.01,> 0.01
5,5,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),L5 IT,L5 IT,869,0.0011507479861910242,0.0,False,False,0.01,> 0.01
5,6,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),L6 IT,L6 IT,305,0.003278688524590164,0.0,False,False,0.01,> 0.01
5,7,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),L6 IT Car3,L6 IT Car3,189,0.0,0.0,False,False,0.01,> 0.01
5,8,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),L6b,L6b,117,0.0,0.0,False,False,0.01,> 0.01
5,9,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Chandelier,Chandelier,58,0.0,0.0,False,False,0.01,> 0.01
5,10,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Lamp5,Lamp5,241,0.0,0.0,False,False,0.01,> 0.01
5,11,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Lamp5 Lhx6,Lamp5 Lhx6,110,0.0,0.0,False,False,0.01,> 0.01
5,12,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Pvalb,Pvalb,676,0.0,0.0,False,False,0.01,> 0.01
5,13,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Sncg,Sncg,135,0.0,0.0,False,False,0.01,> 0.01
5,14,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Sst,Sst,739,0.0,0.0,False,False,0.01,> 0.01
5,15,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Sst Chodl,Sst Chodl,6,0.0,0.0,False,False,0.01,> 0.01
5,16,PASS_Schizophrenia_Pardinas2018,Schizophrenia (SCZ),Vip,Vip,623,0.0016051364365971107,0.0,False,False,0.01,> 0.01
6,1,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Endothelial,Endothelial,14,0.0,0.0,False,False,0.01,> 0.01
6,2,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),OPC,OPC,254,0.023622047244094488,0.023622047244094488,True,False,0.01,> 0.01
6,3,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),L4 IT,L4 IT,1005,0.023880597014925373,0.023880597014925373,True,False,0.01,> 0.01
6,4,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),L5 ET,L5 ET,13,0.0,0.0,False,False,0.01,> 0.01
6,5,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),L5 IT,L5 IT,869,0.014959723820483314,0.014959723820483314,True,False,0.01,> 0.01
6,6,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),L6 IT,L6 IT,305,0.003278688524590164,0.0,False,False,0.01,> 0.01
6,7,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),L6 IT Car3,L6 IT Car3,189,0.0582010582010582,0.0582010582010582,True,True,0.01,> 0.01
6,8,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),L6b,L6b,117,0.008547008547008548,0.0,False,False,0.01,> 0.01
6,9,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Chandelier,Chandelier,58,0.05172413793103448,0.05172413793103448,True,True,0.01,> 0.01
6,10,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Lamp5,Lamp5,241,0.07883817427385892,0.07883817427385892,True,True,0.01,> 0.01
6,11,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Lamp5 Lhx6,Lamp5 Lhx6,110,0.00909090909090909,0.0,False,False,0.01,> 0.01
6,12,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Pvalb,Pvalb,676,0.03698224852071006,0.03698224852071006,True,False,0.01,> 0.01
6,13,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Sncg,Sncg,135,0.014814814814814815,0.014814814814814815,True,False,0.01,> 0.01
6,14,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Sst,Sst,739,0.02165087956698241,0.02165087956698241,True,False,0.01,> 0.01
6,15,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Sst Chodl,Sst Chodl,6,0.16666666666666666,0.16666666666666666,True,True,0.01,> 0.01
6,16,PASS_MDD_Howard2019,Major Depressive Disorder (MDD),Vip,Vip,623,0.014446227929373997,0.014446227929373997,True,False,0.01,> 0.01
7,1,UKB_460K.mental_NEUROTICISM,Neuroticism,Endothelial,Endothelial,14,0.0,0.0,False,False,0.01,> 0.01
7,2,UKB_460K.mental_NEUROTICISM,Neuroticism,OPC,OPC,254,0.1220472440944882,0.1220472440944882,True,True,0.01,> 0.01
7,3,UKB_460K.mental_NEUROTICISM,Neuroticism,L4 IT,L4 IT,1005,0.08855721393034825,0.08855721393034825,True,True,0.01,> 0.01
7,4,UKB_460K.mental_NEUROTICISM,Neuroticism,L5 ET,L5 ET,13,0.23076923076923078,0.23076923076923078,True,True,0.01,> 0.01
